Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -33126.9629  -33127.0009       0.0379     9.2
0.0020      -33126.9630  -33126.9985       0.0355     8.6
0.0040      -33126.9628  -33126.9942       0.0313     7.6
0.0060      -33126.9628  -33126.9922       0.0294     7.1
0.0080      -33126.9632  -33126.9932       0.0300     7.3
0.0100      -33126.9634  -33126.9939       0.0305     7.4
0.0120      -33126.9633  -33126.9923       0.0290     7.0
0.0140      -33126.9634  -33126.9902       0.0268     6.5
0.0160      -33126.9636  -33126.9893       0.0256     6.2
0.0180      -33126.9638  -33126.9891       0.0253     6.1
0.0200      -33126.9636  -33126.9882       0.0245     5.9
0.0220      -33126.9635  -33126.9871       0.0237     5.7
0.0240      -33126.9634  -33126.9875       0.0240     5.8
0.0260      -33126.9636  -33126.9890       0.0254     6.1
0.0280      -33126.9637  -33126.9899       0.0262     6.3
0.0300      -33126.9636  -33126.9896       0.0260     6.3
0.0320      -33126.9635  -33126.9890       0.0255     6.2
0.0340      -33126.9634  -33126.9894       0.0260     6.3
0.0360      -33126.9634  -33126.9907       0.0273     6.6
0.0380      -33126.9636  -33126.9923       0.0287     6.9
0.0400      -33126.9638  -33126.9938       0.0300     7.3
0.0420      -33126.9639  -33126.9946       0.0307     7.4
0.0440      -33126.9638  -33126.9941       0.0303     7.3
0.0460      -33126.9636  -33126.9931       0.0295     7.1
0.0480      -33126.9637  -33126.9931       0.0294     7.1
0.0500      -33126.9637  -33126.9949       0.0312     7.5
0.0520      -33126.9636  -33126.9968       0.0332     8.0
0.0540      -33126.9636  -33126.9969       0.0333     8.1
0.0560      -33126.9636  -33126.9951       0.0315     7.6
0.0580      -33126.9636  -33126.9933       0.0297     7.2
0.0600      -33126.9637  -33126.9928       0.0291     7.0
0.0620      -33126.9637  -33126.9924       0.0288     7.0
0.0640      -33126.9636  -33126.9913       0.0277     6.7
0.0660      -33126.9638  -33126.9902       0.0264     6.4
0.0680      -33126.9638  -33126.9899       0.0262     6.3
0.0700      -33126.9638  -33126.9902       0.0264     6.4
0.0720      -33126.9638  -33126.9897       0.0259     6.3
0.0740      -33126.9637  -33126.9883       0.0246     5.9
0.0760      -33126.9637  -33126.9874       0.0238     5.7
0.0780      -33126.9637  -33126.9882       0.0245     5.9
0.0800      -33126.9638  -33126.9900       0.0262     6.3
0.0820      -33126.9638  -33126.9912       0.0274     6.6
0.0840      -33126.9637  -33126.9911       0.0274     6.6
0.0860      -33126.9637  -33126.9906       0.0269     6.5
0.0880      -33126.9637  -33126.9903       0.0266     6.4
0.0900      -33126.9637  -33126.9908       0.0271     6.6
0.0920      -33126.9637  -33126.9918       0.0282     6.8
0.0940      -33126.9637  -33126.9930       0.0294     7.1
0.0960      -33126.9637  -33126.9936       0.0299     7.2
0.0980      -33126.9636  -33126.9929       0.0294     7.1
0.1000      -33126.9634  -33126.9916       0.0282     6.8
0.1020      -33126.9632  -33126.9909       0.0277     6.7
0.1040      -33126.9631  -33126.9919       0.0288     7.0
0.1060      -33126.9632  -33126.9938       0.0307     7.4
0.1080      -33126.9632  -33126.9949       0.0317     7.7
0.1100      -33126.9631  -33126.9943       0.0312     7.5
0.1120      -33126.9630  -33126.9926       0.0297     7.2
0.1140      -33126.9630  -33126.9911       0.0281     6.8
0.1160      -33126.9630  -33126.9901       0.0272     6.6
0.1180      -33126.9630  -33126.9896       0.0266     6.4
0.1200      -33126.9630  -33126.9894       0.0264     6.4
0.1220      -33126.9630  -33126.9899       0.0269     6.5
0.1240      -33126.9630  -33126.9907       0.0277     6.7
0.1260      -33126.9631  -33126.9906       0.0276     6.7
0.1280      -33126.9630  -33126.9892       0.0262     6.3
0.1300      -33126.9628  -33126.9877       0.0249     6.0
0.1320      -33126.9628  -33126.9885       0.0257     6.2
0.1340      -33126.9630  -33126.9915       0.0285     6.9
0.1360      -33126.9631  -33126.9941       0.0310     7.5
0.1380      -33126.9630  -33126.9938       0.0309     7.5
0.1400      -33126.9629  -33126.9916       0.0287     6.9
0.1420      -33126.9628  -33126.9906       0.0279     6.7
0.1440      -33126.9630  -33126.9923       0.0293     7.1
0.1460      -33126.9633  -33126.9946       0.0313     7.6
0.1480      -33126.9632  -33126.9949       0.0317     7.7
0.1500      -33126.9630  -33126.9934       0.0304     7.4
0.1520      -33126.9631  -33126.9923       0.0292     7.0
0.1540      -33126.9631  -33126.9923       0.0292     7.1
0.1560      -33126.9632  -33126.9924       0.0292     7.1
0.1580      -33126.9631  -33126.9919       0.0289     7.0
0.1600      -33126.9630  -33126.9918       0.0288     7.0
0.1620      -33126.9631  -33126.9928       0.0297     7.2
0.1640      -33126.9633  -33126.9938       0.0305     7.4
0.1660      -33126.9633  -33126.9935       0.0302     7.3
0.1680      -33126.9632  -33126.9920       0.0288     7.0
0.1700      -33126.9630  -33126.9908       0.0277     6.7
0.1720      -33126.9631  -33126.9910       0.0279     6.7
0.1740      -33126.9631  -33126.9921       0.0290     7.0
0.1760      -33126.9632  -33126.9934       0.0303     7.3
0.1780      -33126.9631  -33126.9941       0.0310     7.5
0.1800      -33126.9630  -33126.9937       0.0307     7.4
0.1820      -33126.9630  -33126.9926       0.0296     7.2
0.1840      -33126.9629  -33126.9920       0.0292     7.1
0.1860      -33126.9629  -33126.9931       0.0302     7.3
0.1880      -33126.9631  -33126.9950       0.0319     7.7
0.1900      -33126.9632  -33126.9955       0.0323     7.8
0.1920      -33126.9629  -33126.9939       0.0311     7.5
0.1940      -33126.9627  -33126.9924       0.0297     7.2
0.1960      -33126.9626  -33126.9925       0.0299     7.2
0.1980      -33126.9627  -33126.9934       0.0307     7.4
0.2000      -33126.9626  -33126.9928       0.0302     7.3
0.2020      -33126.9623  -33126.9912       0.0289     7.0
0.2040      -33126.9624  -33126.9909       0.0285     6.9
0.2060      -33126.9626  -33126.9924       0.0298     7.2
0.2080      -33126.9629  -33126.9932       0.0303     7.3
0.2100      -33126.9627  -33126.9919       0.0291     7.0
0.2120      -33126.9624  -33126.9902       0.0278     6.7
0.2140      -33126.9624  -33126.9914       0.0290     7.0
0.2160      -33126.9627  -33126.9949       0.0322     7.8
0.2180      -33126.9628  -33126.9970       0.0342     8.3
0.2200      -33126.9627  -33126.9955       0.0329     7.9
0.2220      -33126.9626  -33126.9926       0.0300     7.3
0.2240      -33126.9626  -33126.9914       0.0289     7.0
0.2260      -33126.9627  -33126.9923       0.0297     7.2
0.2280      -33126.9628  -33126.9934       0.0306     7.4
0.2300      -33126.9627  -33126.9938       0.0311     7.5
0.2320      -33126.9627  -33126.9941       0.0314     7.6
0.2340      -33126.9627  -33126.9945       0.0318     7.7
0.2360      -33126.9627  -33126.9943       0.0316     7.6
0.2380      -33126.9626  -33126.9933       0.0307     7.4
0.2400      -33126.9625  -33126.9930       0.0305     7.4
0.2420      -33126.9625  -33126.9942       0.0316     7.6
0.2440      -33126.9627  -33126.9957       0.0330     8.0
0.2460      -33126.9627  -33126.9957       0.0331     8.0
0.2480      -33126.9624  -33126.9943       0.0319     7.7
0.2500      -33126.9623  -33126.9928       0.0306     7.4
0.2520      -33126.9623  -33126.9922       0.0300     7.2
0.2540      -33126.9623  -33126.9922       0.0299     7.2
0.2560      -33126.9625  -33126.9924       0.0300     7.2
0.2580      -33126.9623  -33126.9929       0.0306     7.4
0.2600      -33126.9623  -33126.9933       0.0311     7.5
0.2620      -33126.9623  -33126.9929       0.0307     7.4
0.2640      -33126.9620  -33126.9917       0.0297     7.2
0.2660      -33126.9618  -33126.9909       0.0291     7.0
0.2680      -33126.9617  -33126.9920       0.0303     7.3
0.2700      -33126.9618  -33126.9943       0.0324     7.8
0.2720      -33126.9619  -33126.9953       0.0334     8.1
0.2740      -33126.9617  -33126.9939       0.0322     7.8
0.2760      -33126.9616  -33126.9916       0.0300     7.2
0.2780      -33126.9616  -33126.9905       0.0289     7.0
0.2800      -33126.9617  -33126.9911       0.0294     7.1
0.2820      -33126.9617  -33126.9921       0.0304     7.4
0.2840      -33126.9616  -33126.9926       0.0310     7.5
0.2860      -33126.9616  -33126.9926       0.0310     7.5
0.2880      -33126.9616  -33126.9926       0.0310     7.5
0.2900      -33126.9616  -33126.9925       0.0309     7.5
0.2920      -33126.9617  -33126.9925       0.0308     7.5
0.2940      -33126.9616  -33126.9928       0.0311     7.5
0.2960      -33126.9617  -33126.9934       0.0318     7.7
0.2980      -33126.9617  -33126.9944       0.0327     7.9
0.3000      -33126.9619  -33126.9952       0.0334     8.1
0.3020      -33126.9620  -33126.9954       0.0335     8.1
0.3040      -33126.9622  -33126.9950       0.0328     7.9
0.3060      -33126.9622  -33126.9945       0.0324     7.8
0.3080      -33126.9621  -33126.9945       0.0323     7.8
0.3100      -33126.9622  -33126.9948       0.0326     7.9
0.3120      -33126.9622  -33126.9951       0.0329     8.0
0.3140      -33126.9623  -33126.9952       0.0329     8.0
0.3160      -33126.9622  -33126.9946       0.0324     7.8
0.3180      -33126.9620  -33126.9932       0.0312     7.5
0.3200      -33126.9619  -33126.9919       0.0300     7.3
0.3220      -33126.9619  -33126.9918       0.0299     7.2
0.3240      -33126.9620  -33126.9928       0.0308     7.4
0.3260      -33126.9620  -33126.9936       0.0315     7.6
0.3280      -33126.9620  -33126.9927       0.0307     7.4
0.3300      -33126.9618  -33126.9910       0.0291     7.0
0.3320      -33126.9617  -33126.9902       0.0286     6.9
0.3340      -33126.9618  -33126.9915       0.0296     7.2
0.3360      -33126.9619  -33126.9933       0.0315     7.6
0.3380      -33126.9619  -33126.9943       0.0323     7.8
0.3400      -33126.9619  -33126.9945       0.0326     7.9
0.3420      -33126.9619  -33126.9953       0.0335     8.1
0.3440      -33126.9620  -33126.9966       0.0346     8.4
0.3460      -33126.9620  -33126.9967       0.0347     8.4
0.3480      -33126.9617  -33126.9952       0.0335     8.1
0.3500      -33126.9616  -33126.9942       0.0325     7.9
0.3520      -33126.9615  -33126.9956       0.0341     8.2
0.3540      -33126.9616  -33126.9983       0.0367     8.9
0.3560      -33126.9616  -33126.9987       0.0371     9.0
0.3580      -33126.9615  -33126.9959       0.0344     8.3
0.3600      -33126.9613  -33126.9931       0.0318     7.7
0.3620      -33126.9614  -33126.9935       0.0321     7.8
0.3640      -33126.9616  -33126.9960       0.0344     8.3
0.3660      -33126.9617  -33126.9972       0.0355     8.6
0.3680      -33126.9617  -33126.9958       0.0342     8.3
0.3700      -33126.9615  -33126.9940       0.0325     7.9
0.3720      -33126.9616  -33126.9939       0.0323     7.8
0.3740      -33126.9616  -33126.9949       0.0333     8.0
0.3760      -33126.9617  -33126.9952       0.0335     8.1
0.3780      -33126.9616  -33126.9949       0.0333     8.1
0.3800      -33126.9615  -33126.9953       0.0338     8.2
0.3820      -33126.9617  -33126.9966       0.0349     8.4
0.3840      -33126.9617  -33126.9973       0.0356     8.6
0.3860      -33126.9616  -33126.9969       0.0353     8.5
0.3880      -33126.9616  -33126.9966       0.0350     8.5
0.3900      -33126.9617  -33126.9974       0.0357     8.6
0.3920      -33126.9618  -33126.9986       0.0368     8.9
0.3940      -33126.9619  -33126.9988       0.0370     8.9
0.3960      -33126.9618  -33126.9976       0.0358     8.7
0.3980      -33126.9618  -33126.9957       0.0338     8.2
0.4000      -33126.9618  -33126.9938       0.0320     7.7
0.4020      -33126.9616  -33126.9926       0.0310     7.5
0.4040      -33126.9616  -33126.9929       0.0312     7.5
0.4060      -33126.9617  -33126.9946       0.0330     8.0
0.4080      -33126.9616  -33126.9965       0.0349     8.4
0.4100      -33126.9614  -33126.9966       0.0352     8.5
0.4120      -33126.9613  -33126.9953       0.0340     8.2
0.4140      -33126.9613  -33126.9950       0.0337     8.1
0.4160      -33126.9613  -33126.9968       0.0355     8.6
0.4180      -33126.9615  -33126.9989       0.0375     9.1
0.4200      -33126.9615  -33126.9989       0.0374     9.1
0.4220      -33126.9612  -33126.9973       0.0361     8.7
0.4240      -33126.9612  -33126.9967       0.0355     8.6
0.4260      -33126.9614  -33126.9977       0.0363     8.8
0.4280      -33126.9615  -33126.9982       0.0367     8.9
0.4300      -33126.9613  -33126.9971       0.0358     8.6
0.4320      -33126.9612  -33126.9960       0.0347     8.4
0.4340      -33126.9613  -33126.9969       0.0356     8.6
0.4360      -33126.9617  -33126.9989       0.0372     9.0
0.4380      -33126.9619  -33126.9992       0.0373     9.0
0.4400      -33126.9618  -33126.9974       0.0356     8.6
0.4420      -33126.9615  -33126.9960       0.0345     8.3
0.4440      -33126.9615  -33126.9971       0.0356     8.6
0.4460      -33126.9617  -33126.9992       0.0375     9.1
0.4480      -33126.9617  -33126.9997       0.0380     9.2
0.4500      -33126.9614  -33126.9982       0.0368     8.9
0.4520      -33126.9613  -33126.9968       0.0355     8.6
0.4540      -33126.9614  -33126.9970       0.0355     8.6
0.4560      -33126.9615  -33126.9979       0.0364     8.8
0.4580      -33126.9614  -33126.9982       0.0368     8.9
0.4600      -33126.9614  -33126.9981       0.0368     8.9
0.4620      -33126.9613  -33126.9984       0.0371     9.0
0.4640      -33126.9613  -33126.9989       0.0375     9.1
0.4660      -33126.9614  -33126.9985       0.0371     9.0
0.4680      -33126.9613  -33126.9973       0.0360     8.7
0.4700      -33126.9613  -33126.9963       0.0350     8.5
0.4720      -33126.9612  -33126.9962       0.0350     8.5
0.4740      -33126.9612  -33126.9965       0.0353     8.5
0.4760      -33126.9612  -33126.9963       0.0351     8.5
0.4780      -33126.9612  -33126.9957       0.0345     8.4
0.4800      -33126.9612  -33126.9953       0.0341     8.2
0.4820      -33126.9612  -33126.9954       0.0341     8.3
0.4840      -33126.9612  -33126.9959       0.0348     8.4
0.4860      -33126.9612  -33126.9969       0.0357     8.6
0.4880      -33126.9612  -33126.9981       0.0369     8.9
0.4900      -33126.9612  -33126.9990       0.0378     9.1
0.4920      -33126.9611  -33126.9989       0.0378     9.1
0.4940      -33126.9610  -33126.9983       0.0373     9.0
0.4960      -33126.9612  -33126.9982       0.0371     9.0
0.4980      -33126.9613  -33126.9991       0.0378     9.1
0.5000      -33126.9613  -33127.0002       0.0388     9.4
0.5020      -33126.9612  -33127.0002       0.0390     9.4
0.5040      -33126.9612  -33126.9991       0.0378     9.1
0.5060      -33126.9612  -33126.9979       0.0368     8.9
0.5080      -33126.9611  -33126.9976       0.0365     8.8
0.5100      -33126.9611  -33126.9981       0.0371     9.0
0.5120      -33126.9611  -33126.9986       0.0376     9.1
0.5140      -33126.9610  -33126.9987       0.0377     9.1
0.5160      -33126.9609  -33126.9987       0.0378     9.1
0.5180      -33126.9610  -33126.9989       0.0380     9.2
0.5200      -33126.9610  -33126.9994       0.0384     9.3
0.5220      -33126.9608  -33126.9997       0.0389     9.4
0.5240      -33126.9609  -33127.0000       0.0390     9.4
0.5260      -33126.9608  -33127.0006       0.0398     9.6
0.5280      -33126.9607  -33127.0017       0.0409     9.9
0.5300      -33126.9607  -33127.0024       0.0417    10.1
0.5320      -33126.9604  -33127.0020       0.0416    10.1
0.5340      -33126.9603  -33127.0008       0.0405     9.8
0.5360      -33126.9603  -33127.0000       0.0398     9.6
0.5380      -33126.9601  -33127.0005       0.0403     9.7
0.5400      -33126.9601  -33127.0014       0.0412    10.0
0.5420      -33126.9602  -33127.0015       0.0412    10.0
0.5440      -33126.9601  -33127.0005       0.0404     9.8
0.5460      -33126.9602  -33126.9991       0.0389     9.4
0.5480      -33126.9601  -33126.9981       0.0380     9.2
0.5500      -33126.9602  -33126.9976       0.0375     9.1
0.5520      -33126.9602  -33126.9978       0.0376     9.1
0.5540      -33126.9602  -33126.9986       0.0384     9.3
0.5560      -33126.9603  -33126.9997       0.0394     9.5
0.5580      -33126.9603  -33127.0003       0.0400     9.7
0.5600      -33126.9604  -33126.9998       0.0395     9.5
0.5620      -33126.9603  -33126.9992       0.0389     9.4
0.5640      -33126.9604  -33126.9995       0.0392     9.5
0.5660      -33126.9604  -33127.0009       0.0404     9.8
0.5680      -33126.9605  -33127.0018       0.0413    10.0
0.5700      -33126.9605  -33127.0016       0.0412     9.9
0.5720      -33126.9605  -33127.0010       0.0405     9.8
0.5740      -33126.9604  -33127.0008       0.0404     9.8
0.5760      -33126.9604  -33127.0009       0.0405     9.8
0.5780      -33126.9602  -33127.0006       0.0404     9.8
0.5800      -33126.9601  -33127.0005       0.0403     9.8
0.5820      -33126.9602  -33127.0011       0.0409     9.9
0.5840      -33126.9602  -33127.0019       0.0417    10.1
0.5860      -33126.9602  -33127.0012       0.0410     9.9
0.5880      -33126.9600  -33126.9991       0.0391     9.5
0.5900      -33126.9599  -33126.9980       0.0381     9.2
0.5920      -33126.9600  -33126.9997       0.0397     9.6
0.5940      -33126.9603  -33127.0029       0.0426    10.3
0.5960      -33126.9605  -33127.0042       0.0437    10.6
0.5980      -33126.9601  -33127.0026       0.0425    10.3
0.6000      -33126.9600  -33127.0007       0.0408     9.9
0.6020      -33126.9601  -33127.0008       0.0407     9.8
0.6040      -33126.9601  -33127.0022       0.0420    10.2
0.6060      -33126.9602  -33127.0025       0.0423    10.2
0.6080      -33126.9600  -33127.0013       0.0413    10.0
0.6100      -33126.9598  -33127.0000       0.0402     9.7
0.6120      -33126.9598  -33126.9996       0.0398     9.6
0.6140      -33126.9599  -33126.9993       0.0393     9.5
0.6160      -33126.9599  -33126.9982       0.0382     9.2
0.6180      -33126.9597  -33126.9975       0.0378     9.1
0.6200      -33126.9597  -33126.9987       0.0390     9.4
0.6220      -33126.9599  -33127.0013       0.0415    10.0
0.6240      -33126.9599  -33127.0032       0.0433    10.5
0.6260      -33126.9599  -33127.0034       0.0435    10.5
0.6280      -33126.9598  -33127.0030       0.0432    10.4
0.6300      -33126.9597  -33127.0033       0.0436    10.5
0.6320      -33126.9597  -33127.0043       0.0445    10.8
0.6340      -33126.9599  -33127.0049       0.0450    10.9
0.6360      -33126.9599  -33127.0045       0.0446    10.8
0.6380      -33126.9599  -33127.0033       0.0434    10.5
0.6400      -33126.9598  -33127.0017       0.0419    10.1
0.6420      -33126.9598  -33127.0003       0.0406     9.8
0.6440      -33126.9597  -33127.0002       0.0405     9.8
0.6460      -33126.9596  -33127.0014       0.0418    10.1
0.6480      -33126.9597  -33127.0026       0.0429    10.4
0.6500      -33126.9596  -33127.0023       0.0427    10.3
0.6520      -33126.9595  -33127.0008       0.0412    10.0
0.6540      -33126.9594  -33126.9995       0.0401     9.7
0.6560      -33126.9595  -33126.9996       0.0401     9.7
0.6580      -33126.9596  -33127.0001       0.0405     9.8
0.6600      -33126.9596  -33127.0000       0.0405     9.8
0.6620      -33126.9595  -33127.0002       0.0406     9.8
0.6640      -33126.9597  -33127.0014       0.0418    10.1
0.6660      -33126.9597  -33127.0031       0.0434    10.5
0.6680      -33126.9597  -33127.0035       0.0438    10.6
0.6700      -33126.9594  -33127.0022       0.0429    10.4
0.6720      -33126.9593  -33127.0016       0.0423    10.2
0.6740      -33126.9594  -33127.0030       0.0437    10.6
0.6760      -33126.9594  -33127.0052       0.0459    11.1
0.6780      -33126.9595  -33127.0053       0.0458    11.1
0.6800      -33126.9594  -33127.0028       0.0434    10.5
0.6820      -33126.9593  -33127.0005       0.0412    10.0
0.6840      -33126.9594  -33127.0010       0.0417    10.1
0.6860      -33126.9594  -33127.0039       0.0445    10.8
0.6880      -33126.9595  -33127.0064       0.0469    11.3
0.6900      -33126.9593  -33127.0067       0.0474    11.5
0.6920      -33126.9591  -33127.0061       0.0470    11.4
0.6940      -33126.9591  -33127.0065       0.0473    11.4
0.6960      -33126.9592  -33127.0078       0.0485    11.7
0.6980      -33126.9593  -33127.0085       0.0492    11.9
0.7000      -33126.9593  -33127.0078       0.0486    11.7
0.7020      -33126.9590  -33127.0065       0.0474    11.5
0.7040      -33126.9591  -33127.0053       0.0462    11.2
0.7060      -33126.9592  -33127.0040       0.0449    10.8
0.7080      -33126.9591  -33127.0019       0.0428    10.3
0.7100      -33126.9589  -33126.9995       0.0406     9.8
0.7120      -33126.9588  -33126.9987       0.0399     9.6
0.7140      -33126.9590  -33127.0006       0.0417    10.1
0.7160      -33126.9592  -33127.0036       0.0445    10.8
0.7180      -33126.9593  -33127.0052       0.0460    11.1
0.7200      -33126.9591  -33127.0046       0.0455    11.0
0.7220      -33126.9588  -33127.0036       0.0448    10.8
0.7240      -33126.9588  -33127.0042       0.0454    11.0
0.7260      -33126.9590  -33127.0065       0.0475    11.5
0.7280      -33126.9591  -33127.0084       0.0493    11.9
0.7300      -33126.9591  -33127.0083       0.0492    11.9
0.7320      -33126.9591  -33127.0072       0.0481    11.6
0.7340      -33126.9594  -33127.0065       0.0471    11.4
0.7360      -33126.9596  -33127.0068       0.0472    11.4
0.7380      -33126.9597  -33127.0073       0.0476    11.5
0.7400      -33126.9597  -33127.0074       0.0477    11.5
0.7420      -33126.9596  -33127.0073       0.0477    11.5
0.7440      -33126.9596  -33127.0073       0.0477    11.5
0.7460      -33126.9597  -33127.0071       0.0474    11.4
0.7480      -33126.9597  -33127.0062       0.0465    11.2
0.7500      -33126.9597  -33127.0053       0.0456    11.0
0.7520      -33126.9596  -33127.0051       0.0455    11.0
0.7540      -33126.9596  -33127.0060       0.0463    11.2
0.7560      -33126.9598  -33127.0072       0.0474    11.5
0.7580      -33126.9597  -33127.0075       0.0478    11.5
0.7600      -33126.9595  -33127.0063       0.0468    11.3
0.7620      -33126.9594  -33127.0042       0.0448    10.8
0.7640      -33126.9593  -33127.0026       0.0432    10.5
0.7660      -33126.9593  -33127.0027       0.0434    10.5
0.7680      -33126.9595  -33127.0044       0.0449    10.9
0.7700      -33126.9596  -33127.0055       0.0460    11.1
0.7720      -33126.9595  -33127.0045       0.0450    10.9
0.7740      -33126.9593  -33127.0019       0.0426    10.3
0.7760      -33126.9591  -33127.0008       0.0417    10.1
0.7780      -33126.9593  -33127.0031       0.0438    10.6
0.7800      -33126.9595  -33127.0072       0.0477    11.5
0.7820      -33126.9596  -33127.0100       0.0504    12.2
0.7840      -33126.9594  -33127.0104       0.0510    12.3
0.7860      -33126.9594  -33127.0103       0.0509    12.3
0.7880      -33126.9594  -33127.0114       0.0520    12.6
0.7900      -33126.9595  -33127.0126       0.0532    12.9
0.7920      -33126.9594  -33127.0125       0.0531    12.8
0.7940      -33126.9593  -33127.0115       0.0521    12.6
0.7960      -33126.9593  -33127.0114       0.0521    12.6
0.7980      -33126.9594  -33127.0123       0.0529    12.8
0.8000      -33126.9594  -33127.0118       0.0525    12.7
0.8020      -33126.9592  -33127.0089       0.0498    12.0
0.8040      -33126.9589  -33127.0061       0.0472    11.4
0.8060      -33126.9590  -33127.0065       0.0476    11.5
0.8080      -33126.9592  -33127.0098       0.0506    12.2
0.8100      -33126.9594  -33127.0120       0.0526    12.7
0.8120      -33126.9592  -33127.0106       0.0514    12.4
0.8140      -33126.9590  -33127.0079       0.0489    11.8
0.8160      -33126.9590  -33127.0074       0.0484    11.7
0.8180      -33126.9591  -33127.0094       0.0503    12.2
0.8200      -33126.9590  -33127.0113       0.0524    12.7
0.8220      -33126.9588  -33127.0113       0.0525    12.7
0.8240      -33126.9586  -33127.0103       0.0517    12.5
0.8260      -33126.9585  -33127.0101       0.0516    12.5
0.8280      -33126.9586  -33127.0103       0.0517    12.5
0.8300      -33126.9585  -33127.0101       0.0516    12.5
0.8320      -33126.9584  -33127.0100       0.0516    12.5
0.8340      -33126.9584  -33127.0112       0.0528    12.8
0.8360      -33126.9585  -33127.0139       0.0554    13.4
0.8380      -33126.9587  -33127.0162       0.0576    13.9
0.8400      -33126.9585  -33127.0166       0.0581    14.0
0.8420      -33126.9584  -33127.0156       0.0572    13.8
0.8440      -33126.9582  -33127.0151       0.0569    13.7
0.8460      -33126.9585  -33127.0159       0.0574    13.9
0.8480      -33126.9586  -33127.0172       0.0586    14.2
0.8500      -33126.9588  -33127.0176       0.0588    14.2
0.8520      -33126.9588  -33127.0167       0.0578    14.0
0.8540      -33126.9588  -33127.0145       0.0557    13.5
0.8560      -33126.9587  -33127.0120       0.0533    12.9
0.8580      -33126.9587  -33127.0106       0.0519    12.5
0.8600      -33126.9588  -33127.0111       0.0523    12.7
0.8620      -33126.9589  -33127.0126       0.0537    13.0
0.8640      -33126.9589  -33127.0133       0.0544    13.1
0.8660      -33126.9588  -33127.0121       0.0533    12.9
0.8680      -33126.9586  -33127.0105       0.0519    12.5
0.8700      -33126.9586  -33127.0104       0.0518    12.5
0.8720      -33126.9587  -33127.0120       0.0534    12.9
0.8740      -33126.9586  -33127.0137       0.0551    13.3
0.8760      -33126.9586  -33127.0145       0.0559    13.5
0.8780      -33126.9585  -33127.0151       0.0566    13.7
0.8800      -33126.9586  -33127.0161       0.0576    13.9
0.8820      -33126.9586  -33127.0170       0.0584    14.1
0.8840      -33126.9586  -33127.0169       0.0583    14.1
0.8860      -33126.9585  -33127.0165       0.0580    14.0
0.8880      -33126.9586  -33127.0176       0.0590    14.3
0.8900      -33126.9587  -33127.0201       0.0614    14.8
0.8920      -33126.9587  -33127.0220       0.0632    15.3
0.8940      -33126.9588  -33127.0214       0.0626    15.1
0.8960      -33126.9586  -33127.0195       0.0609    14.7
0.8980      -33126.9586  -33127.0190       0.0604    14.6
0.9000      -33126.9587  -33127.0207       0.0619    15.0
0.9020      -33126.9588  -33127.0226       0.0638    15.4
0.9040      -33126.9588  -33127.0224       0.0636    15.4
0.9060      -33126.9589  -33127.0202       0.0613    14.8
0.9080      -33126.9587  -33127.0181       0.0594    14.4
0.9100      -33126.9589  -33127.0175       0.0585    14.2
0.9120      -33126.9591  -33127.0177       0.0586    14.2
0.9140      -33126.9591  -33127.0176       0.0585    14.1
0.9160      -33126.9591  -33127.0169       0.0578    14.0
0.9180      -33126.9591  -33127.0167       0.0576    13.9
0.9200      -33126.9591  -33127.0172       0.0582    14.1
0.9220      -33126.9591  -33127.0177       0.0586    14.2
0.9240      -33126.9590  -33127.0175       0.0585    14.1
0.9260      -33126.9590  -33127.0173       0.0583    14.1
0.9280      -33126.9589  -33127.0184       0.0594    14.4
0.9300      -33126.9591  -33127.0207       0.0616    14.9
